Группа тем;Текст инцидента;Тема
ЖКХ;- за что мы платим обслуживание и ремонт дома ?;Ненадлежащая уборка подъездов и лифтов
Электроснабжение;и 25 скоро упадёт;★ Повреждение опор ЛЭП
Благоустройство;собственность администрации города.... Неужели нельзя навести порядок​ ?? Весь​ мусор и торчащие прутки убрать... Участок засыпать землёй и выравнить..... ??​ Почему никто не;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Электроснабжение;не хватает напряжение даже воды;Качество электроснабжения
Здравоохранение/Медицина;почему в Добрянку - ни;Здравоохранение прочее
ЖКХ;"""ЖилСтройКомфорт"" вне очереди.";Низкая температура воды/слабое давление
Благоустройство;детей! Но в данном случае какая то акция против людей живущих в данном микрорайоне а так же людей приезжающих в горгаз и соцслужбу. На данном участке большая проходимость так же к транспортной развязке. Как вариант пересмотреть Межевание территории колледжа и ограждение перенести непосредственно к мастерским. К;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
ЖКХ;семья стала многодетной,родилась дочка,как передать данные по ней?;Сборы за капитальный ремонт
Общественный транспорт;не ходят автобусы? Неудобство!!!;Добавить новый маршрут
Образование;прописка или вот;Нехватка мест в школах
Социальное обслуживание и защита;дозвониться, не получить выплаты;Дети и многодетные семьи
Роспотребнадзор;г, +79125947946. Здравствуйте. Около дома Р. Землячки 8, ближе к ул. Лебедева расплодились крысы. УК Техкомфорт, которая отвечает за данную территорию утверждает что;Обработка и уничтожение грызунов (дератизация)
Образование;же сидят люди , которые в случае чего даже сделать ничего не смогут! Сколько;Безопасность образовательного процесса
Социальное обслуживание и защита;выписала все направления на анализы и ко всем специалистам, которые нужны для комиссии ВТЭК. Я все прошла, ездила в Пермь на консультацию. Думала, что всё прошла, но она назначила ещё врачей. Сегодня уже 22.12, а мне ещё 26.12 нужно сходить ещё к терапевту другому.Потом начнутся новогодние каникулы, и я не смогу вовремя оформить инвалидность и не получу выплату и бесплатные лекарства, которые сейчас получаю. Я не знаю что мне делать. Подскажите ,;Инвалиды
Здравоохранение/Медицина;в каплях)? Ждём уже с;Отсутствие лекарств в стационарах
