Группа тем;Текст инцидента;Тема
Строительство и архитектура;'У нас в городе вообще все очень странно. Иву планировали застроить комплексно. Через конкурсы же все проводилось. В итоге люди купились на соцобьекты. А их и не думают строить. С одной стороны Уинской вместо двух садиков и школы построили один садик. С другой стороны школу четыре года закладыват первый;Строительство социальных объектов
Дороги;по краям, и будет опять колейность.Новый асфальт;Ямы и выбоины на дороге
Общественный транспорт;табло внутри, как;Пешеходные переходы и жд переезды
Благоустройство;и в Перми местами не чищено. На;★ Нарушение правил уборки от снега и наледи территории парка и сквера
ЖКХ;Прокуратура прикрывает.такие преступления у нас так ООО Новинки подняли плату в 2020 году. При чем раза три меняли за месяц . то 18,03.потом 18,75.. Оставили 18,93. Было 16,75 . за. Эти тарифы ни чего не делают..с их содержанием квитанции;Плата за ЖКУ и работа ЕИРЦ
Здравоохранение/Медицина;месяцев вообще ничего не;Льготные лекарства
Дороги;в целях безопасности, на новой;Необходима установка и замена дорожных ограждений
Благоустройство;управлению ЖКХ (кто за это отвечает) во дворах домов №№ 17, 19 и 21 по проспекту Ленина, СДЕЛАЙТЕ БОРДЮРЫ вдоль газонов. Ну, сколько можно уже? Во дворе грязь и безобразие от припарковочных автомобилей. Дошло уже до того, что газель и трактор парковали. Раньше лавочки стояли, песочница, качели, а сейчас вдоль всего двора сплошь в ряд стоят автомобили;★ Парковка на газонах
Дороги;пачка бордюров уже недели 3 лежит, если не дольше...;Содержание, ремонт и обустройство тротуаров
Торговля;"торговля "" с лотка""Наши гости из СНГ торгуют каждый";★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Мобилизация;отправили домой как многодетного домой. Перечислили пособие 100000,, нам нужно его;Зарплата, компенсации, поощрения, выплаты
Благоустройство;сказал, что это;Уборка территорий
Безопасность;слез невозможно смотреть! Где хозяева??? Куда нам;Отлов безнадзорных собак и кошек
Здравоохранение/Медицина;я могу сходить и;Вакцинация
Коронавирус;ПЦР на Covid? Платно или бесплатно? И;Тесты на коронавирус
ЖКХ;то не всегда. На Красногвардейской и Д.Бедного уже два;Подключение к водоснабжению
"МФЦ ""Мои документы""";появится информация об аккредитуемых специалистах в июне 2022 года?И когда;Государственные услуги
ЖКХ;людей… было возгорание электропроводки, 14-ти этажный дом, полностью отсутствует;Ненадлежащее содержание и эксплуатация МКД
Спецпроекты;краю Моргун Диляра;Спецпроекты
Дороги;в центре города нужен ремонт дороги , особенно;Предложение дороги в план ремонта
Строительство и архитектура;'У нас в городе вообще все очень странно. Иву планировали застроить комплексно. Через конкурсы же все проводилось. В итоге люди купились на соцобьекты. А их и не думают строить. С одной стороны Уинской;Строительство социальных объектов
Здравоохранение/Медицина;начал возмущаться что мы сами;Хамство медицинских работников
Здравоохранение/Медицина;Пермского края], а что у нас в разделе полномочий ?Ничего ?А если завтра частник не захочет торговать хлебом себе в убыток ?Как быть ?Как между собой коррелируются фармацевтика и медицинская деятельность ?;Отсутствие аптек
Благоустройство;галошах с толстой подошвой. Хорошо бы и на;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Здравоохранение/Медицина;какие-то инструментальные обследования?;Профильный осмотр
ЖКХ;подъезде 3 заменили старые кривые деревянные двери на новые крепкие железные, но!!!! С самого первого дня они тяжело открываются-закрываются и соответственно ручка была сломана. УК заменили по заявке. Но дверь так и с трудом до сегодняшнего дня закрывается, опять ручку сломали. Ребенку в подъезд не зайти без помощи взрослого. Сейчас на неоднократные заявки сделать дверь реакции нет никакой!!! Говорят по телефону, что они;Неисправность выступающих конструкций: балконов, козырьков, эркеров, карнизов входных крылец и т. п.
Здравоохранение/Медицина;,как будут ставить прививки гепатит,корь и др.прививки;Профильный осмотр
Здравоохранение/Медицина;попасть невозможно. Зарплата медработников должна быть достойной. Любопытно: есть информация о нехватке кадров чиновников?;Низкая заработная плата врачей
Благоустройство;обкладывают, они его что;★ Парковка на газонах
