id;Группа тем;Тема
0;Благоустройство;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
1;Благоустройство;Социальные учреждения
2;Здравоохранение/Медицина;Предложения по созданию лечебных центров
3;Социальное обслуживание и защита;Оказание гос. соц. помощи
4;Социальное обслуживание и защита;Оказание гос. соц. помощи
5;Здравоохранение/Медицина;★ Скорая помощь
6;Социальное обслуживание и защита;Оказание гос. соц. помощи
7;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
8;ЖКХ;Жалобы на управляющие компании
9;Здравоохранение/Медицина;Профильный осмотр
10;Социальное обслуживание и защита;Дети и многодетные семьи
11;Социальное обслуживание и защита;Дети и многодетные семьи
12;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
13;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
14;Социальное обслуживание и защита;Аварийное жилье/переселение
15;Здравоохранение/Медицина;Очередь
16;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
17;Образование;Дистанционное образование
18;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
19;Мусор/Свалки/ТКО;Раздельная сортировка отходов
20;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
21;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
22;Социальное обслуживание и защита;Оказание гос. соц. помощи
23;Дороги;Занятость и трудоустройство
24;Социальное обслуживание и защита;Оказание гос. соц. помощи
25;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
26;Социальное обслуживание и защита;Оказание гос. соц. помощи
27;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
28;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
29;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
30;Благоустройство;★ Неисправные фонари освещения
31;Благоустройство;Борщевик Сосновского
32;Социальное обслуживание и защита;★ Некачественно нанесенная разметка на проезжей части
33;Общественный транспорт;Проблемы с социальными картами или проездными документами
34;Дороги;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
35;Социальное обслуживание и защита;Оказание гос. соц. помощи
36;Общественный транспорт;Неудовлетворительные условия проезда в транспорте на действующем маршруте
37;Образование;Проблемы с отоплением детских садов и школ
38;Благоустройство;Уборка территорий
39;Общественный транспорт;Пенсионеры и ветераны
40;Образование;Дистанционное образование
41;Благоустройство;Вырубка деревьев, кустарников
42;Благоустройство;Социальные учреждения
43;Здравоохранение/Медицина;Диспансеризация
44;Здравоохранение/Медицина;Хамство медицинских работников
45;ЖКХ;Ненадлежащее качество или отсутствие отопления
46;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
47;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
48;Образование;Питание
49;ЖКХ;Плата за ЖКУ и работа ЕИРЦ
50;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
51;Социальное обслуживание и защита;Оказание гос. соц. помощи
52;Мусор/Свалки/ТКО;Плата за вывоз ТКО
53;ЖКХ;Плата за ЖКУ и работа ЕИРЦ
54;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
55;Социальное обслуживание и защита;Оказание гос. соц. помощи
56;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
57;ЖКХ;Спецпроекты
58;Коронавирус;Жалобы на врачей
59;Образование;Низкая температура воды/слабое давление
60;Мусор/Свалки/ТКО;Плата за вывоз ТКО
61;Социальное обслуживание и защита;Оказание гос. соц. помощи
62;ЖКХ;Сборы за капитальный ремонт
63;Социальное обслуживание и защита;Дети и многодетные семьи
